"STATION,""NAME"",""DATE"",""TMAX"",""TMIN"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-01"",""61"",""48"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-02"",""61"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-03"",""58"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-04"",""63"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-05"",""61"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-06"",""59"",""50"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-07"",""52"",""48"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-08"",""58"",""51"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-09"",""59"",""51"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-10"",""56"",""50"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-11"",""60"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-12"",""59"",""50"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-13"",""63"",""47"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-14"",""58"",""49"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-15"",""62"",""49"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-16"",""60"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-17"",""59"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-18"",""56"",""50"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-19"",""57"",""48"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-20"",""57"",""43"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-21"",""57"",""45"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-22"",""58"",""50"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-23"",""58"",""46"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-24"",""58"",""48"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-25"",""58"",""46"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-26"",""56"",""45"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-27"",""60"",""45"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-28"",""66"",""47"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-29"",""63"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-30"",""65"",""50"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-01-31"",""67"",""50"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-01"",""71"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-02"",""73"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-03"",""74"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-04"",""74"",""57"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-05"",""77"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-06"",""75"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-07"",""71"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-08"",""74"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-09"",""76"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-10"",""68"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-11"",""61"",""48"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-12"",""57"",""47"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-13"",""63"",""50"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-14"",""58"",""47"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-15"",""63"",""46"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-16"",""65"",""46"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-17"",""67"",""48"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-18"",""53"",""44"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-19"",""51"",""41"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-20"",""52"",""40"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-21"",""55"",""43"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-22"",""52"",""44"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-23"",""52"",""40"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-24"",""54"",""41"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-25"",""58"",""43"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-26"",""51"",""44"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-02-27"",""56"",""44"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-01"",""58"",""46"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-02"",""53"",""44"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-03"",""53"",""44"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-04"",""55"",""42"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-05"",""61"",""44"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-06"",""66"",""47"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-07"",""69"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-08"",""60"",""49"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-09"",""60"",""47"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-10"",""58"",""47"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-11"",""69"",""47"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-12"",""67"",""49"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-13"",""61"",""49"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-14"",""58"",""48"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-15"",""56"",""45"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-16"",""54"",""45"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-17"",""57"",""45"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-18"",""56"",""45"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-19"",""64"",""47"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-20"",""59"",""51"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-21"",""64"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-22"",""60"",""48"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-23"",""58"",""46"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-24"",""55"",""46"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-25"",""55"",""44"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-26"",""61"",""45"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-27"",""68"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-28"",""76"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-29"",""81"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-30"",""79"",""56"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-03-31"",""60"",""51"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-01"",""65"",""51"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-02"",""63"",""51"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-03"",""59"",""49"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-04"",""60"",""51"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-05"",""61"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-06"",""61"",""56"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-07"",""62"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-08"",""61"",""50"""
