"STATION","NAME","DATE","TMAX","TMIN"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-01","65","43"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-02","65","43"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-03","65","43"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-04","65","43"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-05","65","43"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-06","57","46"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-07","53","47"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-08","52","48"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-09","53","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-10","50","47"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-11","56","47"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-12","62","39"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-13","63","40"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-14","65","40"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-15","65","39"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-16","65","39"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-17","62","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-18","56","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-19","56","46"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-20","55","41"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-21","56","42"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-22",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-23","60","44"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-24","60","44"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-25","60","44"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-26","60","42"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-27","61","42"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-28",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-29","68","46"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-30","67","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-01-31","63","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-02-01","71","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-02-02","76","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-02-03","76","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-02-04","76","50"
